delete
chewing gum
cat food
white wine
herbs
red/blush wine
processed cheese
soft cheese
flour
semi/finished bread
dishes
pickled vegetables
detergent
packaged fruit/vegetables
baking powder
pasta
pot plants
canned fish
seasonal products
liquor
frozen fish
spread cheese
condensed milk
cake bar
mustard
frozen dessert
salt
pet care
canned vegetables
roll products 
turkey
photo/film
mayonnaise
cling film/bags
dish cleaner
specialty cheese
frozen potato products
flower (seeds)
sweet spreads
dog food
liquor (appetizer)
candles
finished products
instant coffee
zwieback
chocolate marshmallow
Instant food products
vinegar
liver loaf
rice
popcorn
soups
sparkling wine
curd cheese
house keeping products
sauces
cereals
softener
spices
female sanitary products
brandy
male cosmetics
meat spreads
jam
nuts/prunes
dental care
rum
ketchup
cleaner
kitchen towels
artif. sweetener
light bulbs
specialty fat
fish
snack products
tea
potato products
nut snack
tidbits
organic sausage
abrasive cleaner
syrup
canned fruit
soap
skin care
prosecco
cookware
pudding powder
bathroom cleaner
flower soil/fertilizer
cocoa drinks
ready soups
cooking chocolate
honey
cream
frozen fruits
specialty vegetables
organic products
decalcifier
hair spray
liqueur
whisky
salad dressing
make up remover
frozen chicken
toilet cleaner
rubbing alcohol
bags
baby cosmetics
preservation products
kitchen utensil
